time,survival
0.087616822,99.81788027
0.164719626,99.43102463
0.24182243,98.14547359
0.318925234,97.73481145
0.396028037,97.12179406
0.473130841,96.43735716
0.550233645,95.69340401
0.627336449,94.81851511
0.704439252,94.49712735
0.781542056,94.00909408
0.85864486,93.52701244
0.935747664,92.80686579
1.012850467,92.2176549
1.089953271,91.64629888
1.167056075,90.92615223
1.244158879,90.20005396
1.321261682,89.20613255
1.398364486,88.58121191
1.47546729,88.02771077
1.552570093,87.43849987
1.629672897,86.84928898
1.706775701,86.28388459
1.783878505,85.95059358
1.860981308,85.39709243
1.938084112,85.16497905
2.015186916,84.71265554
2.09228972,84.10558977
2.169392523,83.58184675
2.246495327,82.87955498
2.323598131,81.97490795
2.400700935,80.91551866
2.477803738,80.32630777
2.554906542,79.39190262
2.632009346,78.29680358
2.70911215,77.10647854
2.786214953,76.24944451
2.863317757,75.67213687
2.940420561,74.70202197
3.017523364,73.67239081
3.094626168,72.6070499
3.171728972,71.53575736
3.248831776,70.01809294
3.325934579,69.30984954
3.403037383,68.58970289
3.480140187,68.43496064
3.557242991,67.17916772
3.634345794,66.16143982
3.711448598,64.9294534
3.788551402,64.31048438
3.844626168,63.21796439
3.886682243,61.8584148
4.0657277,60.09472182